ID,Language,Subscription Type,Subscription Event Type,Purchase Store, Amount Converted ,Subscription Length,Free Trial User,Web User,Email Subscriber,Push Notifications,Open Count,Click Count
171,ESC,Limited,RENEWAL,Web, $13.93 ,487,0,1,1,1,8,8
172,ESP,Limited,RENEWAL,Web, $79.00 ,275,0,0,1,1,5,1
173,ALL,Lifetime,INITIAL_PURCHASE,Web, $189.00 ,28802,0,1,1,1,8,0
174,FRA,Limited,INITIAL_PURCHASE,Web, $37.77 ,92,0,1,0,1,NULL,NULL
175,ALL,Lifetime,INITIAL_PURCHASE,Web, $212.43 ,28793,0,0,0,0,2,0
176,CHI,Limited,INITIAL_PURCHASE,App, $-   ,182,0,1,0,1,2,2
177,EBR,Limited,INITIAL_PURCHASE,Web, $99.42 ,366,0,1,0,1,NULL,NULL
179,JPN,Limited,RENEWAL,App, $-   ,338,1,1,1,1,1,1
180,ESP,Limited,RENEWAL,Web, $35.97 ,369,1,1,1,1,5,0
183,NED,Limited,INITIAL_PURCHASE,Web, $35.97 ,94,0,1,1,1,24,17
184,ENG,Limited,INITIAL_PURCHASE,Web, $116.22 ,184,0,1,1,1,9,0
185,VIE,Limited,INITIAL_PURCHASE,App, $-   ,106,1,0,1,1,NULL,NULL
186,ESP,Limited,INITIAL_PURCHASE,Web, $132.70 ,731,0,1,0,1,60,60
187,ALL,Limited,INITIAL_PURCHASE,Web, $99.00 ,365,1,1,0,1,2,0
188,DEU,Limited,RENEWAL,App, $-   ,365,0,0,0,1,NULL,NULL
189,JPN,Limited,INITIAL_PURCHASE,Web, $53.60 ,182,0,0,0,1,NULL,NULL
190,DEU,Limited,RENEWAL,Web, $119.00 ,548,0,1,1,1,1,0
191,ENG,Limited,INITIAL_PURCHASE,Web, $-   ,183,0,1,1,1,141,0
192,ESP,Limited,RENEWAL,App, $-   ,182,0,0,1,1,0,0
193,FRA,Limited,RENEWAL,App, $-   ,183,0,0,0,1,NULL,NULL
194,ESP,Limited,INITIAL_PURCHASE,Web, $38.81 ,92,0,0,1,1,1,0
195,DEU,Limited,RENEWAL,Web, $92.51 ,182,0,0,0,0,2,0
196,ESP,Limited,RENEWAL,App, $-   ,330,1,0,1,1,0,0
197,DEU,Limited,INITIAL_PURCHASE,Web, $61.16 ,480,0,0,0,1,NULL,NULL
198,FRA,Limited,INITIAL_PURCHASE,App, $-   ,337,0,0,1,1,4,0
199,GRK,Limited,INITIAL_PURCHASE,Web, $-   ,183,0,0,0,1,5,0
200,FRA,Limited,INITIAL_PURCHASE,Web, $38.25 ,91,0,0,1,1,3,0
201,ESP,Lifetime,INITIAL_PURCHASE,App, $-   ,29139,0,1,1,1,12,6
202,CHI,Limited,INITIAL_PURCHASE,Web, $83.56 ,184,0,1,0,1,NULL,NULL
203,ITA,Limited,INITIAL_PURCHASE,Web, $-   ,365,0,1,0,1,NULL,NULL
